"period_begin_month","period_begin_year","period_begin_month_year","covid_month_year_state","state","state_name_title_case","cases","deaths"
4,2021,"4-2021","4-2021TX","TX","Texas",125062,1221
5,2021,"5-2021","5-2021TX","TX","Texas",74053,983
6,2021,"6-2021","6-2021TX","TX","Texas",60462,534
7,2021,"7-2021","7-2021TX","TX","Texas",164636,623
8,2021,"8-2021","8-2021TX","TX","Texas",533635,3550
9,2021,"9-2021","9-2021TX","TX","Texas",538368,8341
10,2021,"10-2021","10-2021TX","TX","Texas",199083,6005
11,2021,"11-2021","11-2021TX","TX","Texas",108764,2626
12,2021,"12-2021","12-2021TX","TX","Texas",315377,1884
1,2020,"1-2020","1-2020WA","WA","Washington",1,0
2,2020,"2-2020","2-2020WA","WA","Washington",0,1
3,2020,"3-2020","3-2020WA","WA","Washington",5223,194
4,2020,"4-2020","4-2020WA","WA","Washington",9126,619
5,2020,"5-2020","5-2020WA","WA","Washington",7262,304
6,2020,"6-2020","6-2020WA","WA","Washington",11110,214
7,2020,"7-2020","7-2020WA","WA","Washington",23879,232
8,2020,"8-2020","8-2020WA","WA","Washington",18993,351
9,2020,"9-2020","9-2020WA","WA","Washington",14306,211
10,2020,"10-2020","10-2020WA","WA","Washington",21869,240
11,2020,"11-2020","11-2020WA","WA","Washington",61729,408
12,2020,"12-2020","12-2020WA","WA","Washington",80837,687
1,2021,"1-2021","1-2021WA","WA","Washington",72000,824
2,2021,"2-2021","2-2021WA","WA","Washington",31779,671
3,2021,"3-2021","3-2021WA","WA","Washington",28249,291
4,2021,"4-2021","4-2021WA","WA","Washington",44278,252
5,2021,"5-2021","5-2021WA","WA","Washington",39193,266
6,2021,"6-2021","6-2021WA","WA","Washington",17590,165
7,2021,"7-2021","7-2021WA","WA","Washington",26850,193
8,2021,"8-2021","8-2021WA","WA","Washington",105088,451
9,2021,"9-2021","9-2021WA","WA","Washington",112123,1152
10,2021,"10-2021","10-2021WA","WA","Washington",82360,902
11,2021,"11-2021","11-2021WA","WA","Washington",53169,675
12,2021,"12-2021","12-2021WA","WA","Washington",93578,550
