period_begin_month,period_begin_year,period_begin_month_year,state,state_code,housing_month_year_state,homes_sold,pending_sales,new_listings,inventory,months_of_supply,sold_above_list,price_drops
2,2021,2-2021,Washington,WA,2-2021WA,14784,16016,17176,11138,172.29999999999995,47.824528244999996,13.524190997
3,2020,3-2020,California,CA,3-2020CA,55002,48684,66388,127774,480.79999999999995,57.359576327999974,28.957037227000008
3,2020,3-2020,Florida,FL,3-2020FL,72037,51482,85644,257068,949.6999999999997,20.714190244999987,31.697720941999993
3,2020,3-2020,Minnesota,MN,3-2020MN,10934,11778,18135,27137,889.1999999999996,46.098666279999996,24.553139846
3,2020,3-2020,Texas,TX,3-2020TX,51231,43854,67011,154850,1729.3999999999994,34.82442873699997,41.103460935999976
3,2020,3-2020,Washington,WA,3-2020WA,17398,16967,24187,26355,358.8000000000001,37.812053891999994,15.110872147999999
3,2021,3-2021,California,CA,3-2021CA,70887,71972,81954,85761,262.90000000000003,87.219626961,26.547927467000008
3,2021,3-2021,Florida,FL,3-2021FL,99403,88979,97833,136145,418.0000000000002,41.070007958000005,30.66530063699998
3,2021,3-2021,Minnesota,MN,3-2021MN,11552,14395,16952,14015,440.99999999999994,66.81694669699998,30.294211025999978
3,2021,3-2021,Texas,TX,3-2021TX,60374,58361,68042,78544,1036.9999999999993,83.25504353900006,56.18030213000004
3,2021,3-2021,Washington,WA,3-2021WA,20060,23603,24562,10803,134.60000000000002,55.26082037899999,26.950072274999993
4,2020,4-2020,California,CA,4-2020CA,42357,37190,48029,128280,645.3999999999999,58.348755652999984,22.612972287000005
4,2020,4-2020,Florida,FL,4-2020FL,54366,40302,55039,246655,1294.9999999999995,22.235652191999996,23.184012102000015
4,2020,4-2020,Minnesota,MN,4-2020MN,12142,11380,14833,28282,883.1999999999998,48.60249781099999,28.855223384999995
4,2020,4-2020,Texas,TX,4-2020TX,43490,38577,54290,155046,1920.1000000000006,38.027681289,37.37837456099998
4,2020,4-2020,Washington,WA,4-2020WA,14690,15038,17638,27251,414.4999999999999,37.278223919000006,17.131861537000006
4,2021,4-2021,California,CA,4-2021CA,77352,73776,85591,90371,350.8000000000001,97.551549844,25.771557543
4,2021,4-2021,Florida,FL,4-2021FL,98923,82233,97072,134146,397.40000000000015,47.500482494999986,33.10497250300003
4,2021,4-2021,Minnesota,MN,4-2021MN,13762,15850,18682,15525,344.1000000000001,75.37635558199999,30.52591692699999
4,2021,4-2021,Texas,TX,4-2021TX,61626,62731,75001,81949,1066.4999999999989,92.68990798599997,59.61069024099999
4,2021,4-2021,Washington,WA,4-2021WA,22428,23514,27864,14281,138.89999999999995,60.399864712000024,21.091470324999996
5,2020,5-2020,California,CA,5-2020CA,37185,48140,67755,135348,781.9000000000001,43.49028888099999,30.476958042999996
5,2020,5-2020,Florida,FL,5-2020FL,48201,49676,72378,238540,1279.2999999999997,25.554835505999993,26.765614876
5,2020,5-2020,Minnesota,MN,5-2020MN,13172,14574,18371,29453,827.4999999999998,42.67034311499998,34.94400058100002
5,2020,5-2020,Texas,TX,5-2020TX,45248,52919,68496,150230,1739.2,40.68995608500002,46.85958931500003
5,2020,5-2020,Washington,WA,5-2020WA,15198,20458,22703,27073,429.90000000000015,30.363551923999996,20.22521860400001
5,2021,5-2021,California,CA,5-2021CA,72893,74591,84409,94035,295.7999999999999,98.845311323,24.30968298
5,2021,5-2021,Florida,FL,5-2021FL,90645,80691,94333,133121,415.20000000000005,59.013966830000015,32.328300676000005
5,2021,5-2021,Minnesota,MN,5-2021MN,15350,17661,19420,16352,337.3999999999999,92.17670055599997,32.180616561
5,2021,5-2021,Texas,TX,5-2021TX,63918,63633,73043,84134,1233.7999999999995,114.55904421100004,57.07846490699998
5,2021,5-2021,Washington,WA,5-2021WA,23104,26440,27246,14332,155.39999999999998,58.19715733499999,20.242994469000006
6,2020,6-2020,California,CA,6-2020CA,58070,60179,73730,130929,481.9,42.08031757999998,33.011826023000005
6,2020,6-2020,Florida,FL,6-2020FL,69383,56425,81146,226160,856.9999999999999,23.111359499000006,29.835041976999992
6,2020,6-2020,Minnesota,MN,6-2020MN,17244,17410,18977,27328,589.4999999999999,53.61890933899999,45.686206404999965
6,2020,6-2020,Texas,TX,6-2020TX,64308,58392,69895,139115,1677.1000000000001,34.96917698700001,51.56862732700002
6,2020,6-2020,Washington,WA,6-2020WA,21524,22962,24674,25490,294.6,31.922789498999997,23.206668619
6,2021,6-2021,California,CA,6-2021CA,81909,78215,89497,98865,302.9000000000002,104.73951651600001,31.970643426999988
6,2021,6-2021,Florida,FL,6-2021FL,98073,81744,96521,133938,369.70000000000016,63.28499315100002,37.050502826000006
6,2021,6-2021,Minnesota,MN,6-2021MN,20072,18112,21433,18728,353.4999999999999,112.35074666000007,37.550508710999985
6,2021,6-2021,Texas,TX,6-2021TX,69968,67102,81819,92403,982.8000000000001,122.814233145,67.07343123800005
6,2021,6-2021,Washington,WA,6-2021WA,27462,27188,30170,16544,150.39999999999998,66.49801875699998,27.31714757899999
7,2020,7-2020,California,CA,7-2020CA,74214,68040,83243,128087,375.2999999999999,52.916992056999995,36.277924379000005
7,2020,7-2020,Florida,FL,7-2020FL,82410,60024,84895,215667,750.3000000000002,25.740984527999995,31.48381513899998
7,2020,7-2020,Minnesota,MN,7-2020MN,19637,16949,19757,27064,517.8999999999999,55.04111103999996,41.15151293599998
7,2020,7-2020,Texas,TX,7-2020TX,73194,59016,73955,134370,1468.0000000000011,43.748994868000025,55.307550090999996
7,2020,7-2020,Washington,WA,7-2020WA,24956,24275,28513,26583,231.50000000000006,35.273645038000005,25.166867827
7,2021,7-2021,California,CA,7-2021CA,76946,75217,90202,107374,351.7999999999997,103.17097464999996,36.35364100800001
7,2021,7-2021,Florida,FL,7-2021FL,86639,75846,94614,140881,444.79999999999995,66.36312432299997,41.447507421000005
7,2021,7-2021,Minnesota,MN,7-2021MN,18204,16597,20255,21412,367.49999999999994,102.78476947499995,48.30419439
7,2021,7-2021,Texas,TX,7-2021TX,66708,65624,84618,105442,1143.7999999999995,132.57081169399993,80.43423549499994
7,2021,7-2021,Washington,WA,7-2021WA,26458,24823,29603,20502,158.39999999999998,57.45444318100001,28.652478931999994
8,2020,8-2020,California,CA,8-2020CA,71652,68936,81291,125266,383.19999999999993,59.15914229799999,33.936625273
8,2020,8-2020,Florida,FL,8-2020FL,77401,61515,83312,207562,773.5000000000005,26.920034204,28.56942963699999
8,2020,8-2020,Minnesota,MN,8-2020MN,18622,17536,19418,26074,499.80000000000024,62.96604341899998,45.92347326599995
8,2020,8-2020,Texas,TX,8-2020TX,63984,55939,66065,127748,1693.3000000000004,53.933722447,50.14243113799999
8,2020,8-2020,Washington,WA,8-2020WA,24132,25691,27036,25061,245.20000000000002,36.167005116,26.936046723999986
8,2021,8-2021,California,CA,8-2021CA,75128,75767,80694,105386,332.8,106.38121373399994,42.52065799600001
8,2021,8-2021,Florida,FL,8-2021FL,82179,78278,89740,140151,499.10000000000014,67.669435481,43.81020707699997
8,2021,8-2021,Minnesota,MN,8-2021MN,18590,17543,19070,21861,398.2999999999998,93.64812946599999,54.625399888
8,2021,8-2021,Texas,TX,8-2021TX,65620,66038,72694,105025,1366.6000000000001,123.56787585800004,88.599257871
8,2021,8-2021,Washington,WA,8-2021WA,25788,26324,26573,19774,186.8000000000001,60.71942509300003,36.85189304100001
9,2020,9-2020,California,CA,9-2020CA,74987,71040,83159,123948,368.70000000000016,63.46074967600004,35.698812920999984
9,2020,9-2020,Florida,FL,9-2020FL,76398,61156,83403,202294,741.2999999999996,31.782870689,27.501292330999988
9,2020,9-2020,Minnesota,MN,9-2020MN,18378,16526,18964,25898,484.8,63.41400100700002,45.21030373299999
9,2020,9-2020,Texas,TX,9-2020TX,62350,50934,60865,122256,1749.7999999999995,46.432363961000014,52.80619155899998
9,2020,9-2020,Washington,WA,9-2020WA,25534,24381,25419,23544,208.4,40.705344161000006,25.864514879999994
9,2021,9-2021,California,CA,9-2021CA,73064,71198,77767,104004,399.5000000000002,97.06432118799997,43.024519447
9,2021,9-2021,Florida,FL,9-2021FL,78422,72494,84546,139547,491.59999999999997,59.555329803,42.055422191000005
9,2021,9-2021,Minnesota,MN,9-2021MN,17194,14916,17354,22903,443.7,96.38510268900004,65.795302872
9,2021,9-2021,Texas,TX,9-2021TX,61754,58896,64441,102155,1169.7000000000007,103.17905102599998,83.95069502800001
9,2021,9-2021,Washington,WA,9-2021WA,25372,24169,26192,20503,198.7,53.190420778000025,35.089241333000004
